city,year,weekofyear,total_cases
iq,2013,3,12
iq,2013,4,10
iq,2013,5,9
iq,2013,6,10
iq,2013,7,11
iq,2013,8,10
iq,2013,9,12
iq,2013,10,12
iq,2013,11,12
iq,2013,12,9
iq,2013,13,9
iq,2013,14,8
iq,2013,15,8
iq,2013,16,7
iq,2013,17,5
iq,2013,18,7
iq,2013,19,4
iq,2013,20,2
iq,2013,21,2
iq,2013,22,5
iq,2013,23,5
iq,2013,24,2
iq,2013,25,4
iq,2013,26,5
